ALABAMA,LATITUDE,LONGITUDE
MISSISSIPPI,LATITUDE,LONGITUDE,
Biloxi--Keesler AFB,30,25,88,55
Clarksdale,34,12,90,34
Columbus AFB,33,39,88,27
Greenville AFB,33,29,90,59
Greenwood,33,30,90,5
Hattiesburg,31,16,89,15
Jackson AP,32,19,90,5
Laurel,31,40,89,10
Mccomb AP,31,15,90,28
Meridian AP,32,20,88,45
Natchez,31,33,91,23
Tupelo,34,16,88,46
Vicksburg Co,32,24,90,47
MISSOURI,LATITUDE,LONGITUDE,
Cape Girardeau,37,14,89,35
Columbia AP (S),38,58,92,22
Farmington AP,37,46,90,24
Hannibal,39,42,91,21
Jefferson City,38,34,92,11
Joplin AP,37,9,94,30
Kansas City AP,39,7,94,35
Kirksville AP,40,6,92,33
Mexico,39,11,91,54
Moberly,39,24,92,26
Poplar Bluff,36,46,90,25
Rolla,37,59,91,43
St. Joseph AP,39,46,94,55
St. Louis AP,38,45,90,23
St. Louis CO,38,39,90,38
Sikeston,36,53,89,36
Sedalia--Whiteman AFB,38,43,93,33
Sikeston,36,53,89,36
Springfield AP,37,14,93,23
MONTANA,LATITUDE,LONGITUDE,
Billings AP,45,48,108,32
Bozeman,45,47,111,9
Butte AP,45,57,112,30
Cut Bank AP,48,37,112,22
Glasgow AP (S),48,25,106,32
Glendive,47,8,104,48
Great Falls AP (S),47,29,111,22
Havre,48,34,109,40
Helena AP,46,36,112,0
Kalispell AP,48,18,114,16
Lewiston AP,47,4,109,27
Livingstown AP,45,42,110,26
Miles City AP,46,26,105,52
Missoula AP,46,55,114,5
NEBRASKA,LATITUDE,LONGITUDE,
Beatrice,40,16,96,45
Chadron AP,42,50,103,5
Columbus,41,28,97,20
Fremont,41,26,96,29
Grand Island AP,40,59,98,19
Hastings,40,36,98,26
Kearney,40,44,99,1
Lincoln Co (S),40,51,96,45
McCook,40,12,100,38
Norfolk,41,59,97,26
North Platte AP (S),41,8,100,41
Omaha AP,41,18,95,54
Scottsbluff AP,41,52,103,36
Sidney AP,41,13,103,6
NEVADA,LATITUDE,LONGITUDE,
Carson City,39,10,119,46
Elko AP,40,50,115,47
Ely AP (S),39,17,114,51
Las Vegas AP (S),36,5,115,10
Lovelock AP,40,4,118,33
Reno AP (S),39,30,119,47
Reno Co,39,30,119,47
Tonopah AP,38,4,117,5
Winnemucca AP,40,54,117,48
NEW HAMPSHIRE,LATITUDE,LONGITUDE,
Berlin,44,3,71,1
Claremont,43,2,72,2
Concord AP,43,12,71,30
Keene,42,55,72,17
Laconia,43,3,71,3
"Manchester Grenier AFB",42,56,71,26
"Portsmouth Pease AFB",43,4,70,49
NEW JERSEY,LATITUDE,LONGITUDE,
Atlantic City CO,39,23,74,26
Long Branch,40,19,74,1
Newark AP,40,42,74,10
New Brunswick,40,29,74,26
Paterson,40,54,74,9
Phillipsburg,40,41,75,11
Trenton Co,40,13,74,46
Vineland,39,29,75,0
NEW MEXICO,LATITUDE,LONGITUDE,
Holloman AFB,32,51,106,6
Albuquerque AP (S),35,3,106,37
Artesia,32,46,104,23
Carlsbad AP,32,20,104,16
Clovis AP,34,23,103,19
Farmington AP,36,44,108,14
Gallup,35,31,108,47
Grants,35,10,107,54
Hobbs AP,32,45,103,13
Las Cruces,32,18,106,55
Los Alamos,35,52,106,19
Raton AP,36,45,104,30
"Roswell Walker AFB",33,18,104,32
Santa Fe CO,35,37,106,5
Silver City AP,32,38,108,10
Socorro AP,34,3,106,53
Tucumcari AP,35,11,103,36
NEW YORK,LATITUDE,LONGITUDE,
Albany AP (S),42,45,73,48
Albany Co,42,39,73,45
Auburn,42,54,76,32
Batavia,43,0,78,11
Binghamton AP,42,13,75,59
Buffalo AP,42,56,78,44
Cortland,42,36,76,11
Dunkirk,42,29,79,16
Elmira AP,42,10,76,54
Geneva (S),42,45,76,54
Glens Falls,43,20,73,37
Gloversville,43,2,74,21
Hornell,42,21,77,42
Ithaca (S),42,27,76,29
Jamestown,42,7,79,14
Kingston,41,56,74,0
Lockport,43,9,79,15
Massena AP,44,56,74,51
"Newburgh Stewart AFB",41,30,74,6
NYC-Central Park (S),40,47,73,58
NYC-Kennedy AP,40,39,73,47
NYC-La Guardia AP,40,46,73,54
Niagara Falls AP,43,6,79,57
Olean,42,14,78,22
Oneonta,42,31,75,4
Oswego Co,43,28,76,33
Plattsburg AFB,44,39,73,28
Poughkeepsie,41,38,73,55
Rochester AP,43,7,77,40
"Rome Griffiss AFB",43,14,75,25
Schenectady (S),42,51,73,57
Suffolk County AFB,40,51,72,38
Syracuse AP,43,7,76,7
Utica,43,9,75,23
Watertown,43,59,76,1
NORTH CAROLINA,LATITUDE,LONGITUDE,
Asheville AP,35,26,82,32
Charlotte AP,35,13,80,56
Durham,35,52,78,47
Elizabeth City AP,36,16,76,11
"Fayetteville Pope AFB",35,10,79,1
"Goldsboro Seymour-Johnson",35,20,77,58
Greensboro AP (S),36,5,79,57
Greenville,35,37,77,25
Henderson,36,22,78,25
Hickory,35,45,81,23
Jacksonville,34,50,77,37
Lumberton,34,37,79,4
New Bern AP,35,5,77,3
Raleigh/Durham AP (S),35,52,78,47
Rocky Mount,35,58,77,48
Wilmington AP,34,16,77,55
Winston-Salem AP,36,8,80,13
NORTH DAKOTA,LATITUDE,LONGITUDE,
Bismarck AP (S),46,46,100,45
Devils Lake,48,7,98,54
Dickinson AP,46,48,102,48
Fargo AP,46,54,96,48
Grand Forks AP,47,57,97,24
Jamestown AP,46,55,98,41
Minot AP,48,25,101,21
Williston,48,9,103,35
OHIO,LATITUDE,LONGITUDE,
Akron-Canton AP,40,55,81,26
Ashtabula,41,51,80,48
Athens,39,20,82,6
Bowling Green,41,23,83,38
Cambridge,40,4,81,35
Chillicothe,39,21,83,0
Cincinnati Co,39,9,84,31
Cleveland AP (S),41,24,81,51
Columbus AP (S),40,0,82,53
Dayton AP,39,54,84,13
Defiance,41,17,84,23
Findlay AP,41,1,83,40
Fremont,41,20,83,7
Hamilton,39,24,84,35
Lancaster,39,44,82,38
Lima,40,42,84,2
Mansfield AP,40,49,82,31
Marion,40,36,83,10
Middletown,39,31,84,25
Newark,40,1,82,28
Norwalk,41,16,82,37
Portsmouth,38,45,82,55
Sandusky Co,41,27,82,43
Springfield,39,50,83,50
Steubenville,40,23,80,38
Toledo AP,41,36,83,48
Warren,41,20,80,51
Wooster,40,47,81,55
Youngstown AP,41,16,80,40
Zanesville AP,39,57,81,54
OKLAHOMA,LATITUDE,LONGITUDE,
Ada,34,47,96,41
Altus AFB,34,39,99,16
Ardmore,34,18,97,1
Bartlesville,36,45,96,0
Chickasha,35,3,97,55
"Enid Vance AFB",36,21,97,55
Lawton AP,34,34,98,25
McAlester,34,50,95,55
Muskogee AP,35,40,95,22
Norman,35,15,97,29
Oklahoma City AP (S),35,24,97,36
Ponca City,36,44,97,6
Seminole,35,14,96,40
Stillwater (S),36,10,97,5
Tulsa AP,36,12,95,54
Woodward,36,36,99,31
OREGON,LATITUDE,LONGITUDE,
Albany,44,38,123,7
Astoria AP (S),46,9,123,53
Baker AP,44,50,117,49
Bend,44,4,121,19
Corvallis (S),44,30,123,17
Eugene AP,44,7,123,13
Grants Pass,42,26,123,19
Klamath Falls AP,42,9,121,44
Medford AP (S),42,22,122,52
Pendleton AP,45,41,118,51
Portland AP,45,36,122,36
Portland Co,45,32,122,40
Roseburg AP,43,14,123,22
Salem AP,44,55,123,1
The Dalles,45,36,121,12
PENNSYLVANIA,LATITUDE,LONGITUDE,
Allentown AP,40,39,75,26
Altoona Co,40,18,78,19
Butler,40,52,79,54
Chambersburg,39,56,77,38
Erie AP,42,5,80,11
Harrisburg AP,40,12,76,46
Johnstown,40,19,78,50
Lancaster,40,7,76,18
Meadville,41,38,80,10
New Castle,41,1,80,22
Philadelphia AP,39,53,75,15
Pittsburgh AP,40,30,80,13
Pittsburgh Co,40,27,80,0
Reading Co,40,20,75,38
Scranton/Wilkes-Barre,41,20,75,44
State College (S),40,48,77,52
Sunbury,40,53,76,46
Uniontown,39,55,79,43
Warren,41,51,79,8
West Chester,39,58,75,38
Williamsport AP,41,15,76,55
York,39,55,76,45
RHODE ISLAND,LATITUDE,LONGITUDE,
Newport (S),41,30,71,20
Providence AP,41,44,71,26
SOUTH Carolina,LATITUDE,LONGITUDE,
Anderson,34,30,82,43
Charleston AFB (S),32,54,80,2
Charleston Co,32,54,79,58
Columbia AP,33,57,81,7
Florence AP,34,11,79,43
Georgetown,33,23,79,17
Greenville AP,34,54,82,13
Greenwood,34,10,82,7
Orangeburg,33,30,80,52
Rock Hill,34,59,80,58
Spartanburg AP,34,58,82,0
"Sumter Shaw AFB",33,54,80,22
SOUTH DAKOTA,LATITUDE,LONGITUDE,
Aberdeen AP,45,27,98,26
Brookings,44,18,96,48
Huron AP,44,23,98,13
Mitchell,43,41,98,1
Pierre AP,44,23,100,17
Rapid City AP (S),44,3,103,4
Sioux Falls AP,43,34,96,44
Watertown AP,44,55,97,9
Yankton,42,55,97,23
TENNESSEE,LATITUDE,LONGITUDE,
Athens,35,26,84,35
Bristol-Tri City AP,36,29,82,24
Chattanooga AP,35,2,85,12
Clarksville,36,33,87,22
Columbia,35,38,87,2
Dyersburg,36,1,89,24
Greenville,36,4,82,50
Jackson AP,35,36,88,55
Knoxville AP,35,49,83,59
Memphis AP,35,3,90,0
Murfreesboro,34,55,86,28
Nashville AP (S),36,7,86,41
Tullahoma,35,23,86,5
TEXAS,LATITUDE,LONGITUDE,
Abilene AP,32,25,99,41
Alice AP,27,44,98,2
Amarillo AP,35,14,100,42
Austin AP,30,18,97,42
Bay City,29,0,95,58
Beaumont,29,57,94,1
Beeville,28,22,97,40
Big Spring AP (S),32,18,101,27
Brownsville AP (S),25,54,97,26
Brownwood,31,48,98,57
Bryan AP,30,40,96,33
Corpus Christi AP,27,46,97,30
Corsicana,32,5,96,28
Dallas AP,32,51,96,51
"Del Rio Laughlin AFB",29,22,100,47
Denton,33,12,97,6
Eagle Pass,28,52,100,32
El Paso AP (S),31,48,106,24
Fort Worth AP (S),32,50,97,3
Galveston AP,29,18,94,48
Greenville,33,4,96,3
Harlingen,26,14,97,39
Houston AP,29,58,95,21
Houston Co,29,59,95,22
Huntsville,30,43,95,33
"Killeen Robert Gray AAF",31,5,97,41
Lamesa,32,42,101,56
Laredo AFB,27,32,99,27
Longview,32,28,94,44
Lubbock AP,33,39,101,49
Lufkin AP,31,25,94,48
Mcallen,26,12,98,13
Midland AP (S),31,57,102,11
Mineral Wells AP,32,47,98,4
Palestine Co,31,47,95,38
Pampa,35,32,100,59
Pecos,31,25,103,30
Plainview,34,11,101,42
Port Arthur AP,29,57,94,1
Goodfellow AFB,31,26,100,24
San Antonio AP (S),29,32,98,28
"Sherman Perrin AFB",33,43,96,40
Snyder,32,43,100,55
Temple,31,6,97,21
Tyler AP,32,21,95,16
Vernon,34,10,99,18
Victoria AP,28,51,96,55
Waco AP,31,37,97,13
Wichita Falls AP,33,58,98,29
UTAH,LATITUDE,LONGITUDE,
Cedar City AP,37,42,113,6
Logan,41,45,111,49
Moab,38,36,109,36
Ogden AP,41,12,112,1
Price,39,37,110,50
Provo,40,13,111,43
Richfield,38,46,112,5
St George Co,37,2,113,31
Salt Lake City AP (S),40,46,111,58
Vernal AP,40,27,109,31
VERMONT,LATITUDE,LONGITUDE,
Barre,44,12,72,31
Burlington AP (S),44,28,73,9
Rutland,43,36,72,58
VIRGINIA,LATITUDE,LONGITUDE,
Charlottesville,38,2,78,31
Danville AP,36,34,79,20
Fredericksburg,38,18,77,28
Harrisonburg,38,27,78,54
Lynchburg AP,37,20,79,12
Norfolk AP,36,54,76,12
Petersburg,37,11,77,31
Richmond AP,37,30,77,20
Roanoke AP,37,19,79,58
Staunton,38,16,78,54
Winchester,39,12,78,10
WASHINGTON,LATITUDE,LONGITUDE,
Aberdeen,46,59,123,49
Bellingham AP,48,48,122,32
Bremerton,47,34,122,40
Ellensburg AP,47,2,120,31
"Everett Paine AFB",47,55,122,17
Kennewick,46,13,119,8
Longview,46,10,122,56
"Moses Lake Larson AFB",47,12,119,19
Olympia AP,46,58,122,54
Port Angeles,48,7,123,26
Seattle-Boeing Field,47,32,122,18
Seattle Co (S),47,39,122,18
Seattle-Tacoma AP (S),47,27,122,18
Spokane AP (S),47,38,117,31
"Tacoma McChord AFB",47,15,122,30
Walla Walla AP,46,6,118,17
Wenatchee,47,25,120,19
Yakima AP,46,34,120,32
WEST VIRGINIA,LATITUDE,LONGITUDE,
Beckley,37,47,81,7
Bluefield AP,37,18,81,13
Charleston AP,38,22,81,36
Clarksburg,39,16,80,21
Elkins AP,38,53,79,51
Huntington Co,38,25,82,30
Martinsburg AP,39,24,77,59
Morgantown AP,39,39,79,55
Parkersburg Co,39,16,81,34
Wheeling,40,7,80,42
WISCONSIN,LATITUDE,LONGITUDE,
Appleton,44,15,88,23
Ashland,46,34,90,58
Beloit,42,30,89,2
Eau Claire AP,44,52,91,29
Fond Du Lac,43,48,88,27
Green Bay AP,44,29,88,8
La Crosse AP,43,52,91,15
Madison AP (S),43,8,89,20
Manitowoc,44,6,87,41
Marinette,45,6,87,38
Milwaukee AP,42,57,87,54
Racine,42,43,87,51
Sheboygan,43,45,87,43
Stevens Point,44,30,89,34
Waukesha,43,1,88,14
Wausau AP,44,55,89,37
WYOMING,LATITUDE,LONGITUDE,
Casper AP,42,55,106,28
Cheyenne,41,9,104,49
Cody AP,44,33,109,4
Evanston,41,16,110,57
Lander AP (S),42,49,108,44
Laramie AP (S),41,19,105,41
Newcastle,43,51,104,13
Rawlins,41,48,107,12
Rock Springs AP,41,36,109,0
Sheridan AP,44,46,106,58
Torrington,42,5,104,13
